#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.123614    0.123614           0
           2    0.109832    0.116723  0.00487267
           3    0.107518    0.113655   0.0041023
           4     0.10538    0.111586  0.00356031
           5    0.118898    0.113048  0.00313423
           6     0.10382     0.11151  0.00296533
           7    0.099318    0.109769  0.00301009
           8    0.138348    0.113341  0.00425488
           9    0.096994    0.111525  0.00415174
          10    0.126128    0.112985  0.00398512
          11    0.124762    0.114056  0.00376391
          12    0.130768    0.115448  0.00369895
          13    0.108508    0.114914  0.00345272
          14    0.132042    0.116138  0.00341597
          15    0.118074    0.116267  0.00319068
          16    0.106752    0.115672  0.00304618
          17    0.100204    0.114762  0.00299981
          18    0.125422    0.115355  0.00289102
          19    0.138804    0.116589  0.00299071
          20     0.12994    0.117256  0.00291473
