#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.687608    0.687608           0
           2    0.701535    0.694572   0.0049239
           3    0.678108    0.689084  0.00555469
           4    0.681927    0.687294  0.00444484
           5    0.698179    0.689471  0.00405408
           6     0.68629    0.688941  0.00341291
           7    0.695589    0.689891  0.00305462
           8    0.694967    0.690525   0.0027379
           9    0.673757    0.688662   0.0030014
          10    0.683967    0.688193  0.00273774
          11    0.684677    0.687873  0.00250744
          12    0.685215    0.687652  0.00230825
          13    0.683783    0.687354  0.00214978
          14    0.694284    0.687849  0.00205242
          15    0.688137    0.687868  0.00191569
          16    0.699001    0.688564  0.00191817
          17    0.673102    0.687655  0.00200943
          18    0.697298     0.68819  0.00196792
          19    0.680309    0.687775  0.00190756
          20    0.678535    0.687313  0.00186729
