#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.314837    0.314837           0
           2    0.313649    0.314243 0.000419968
           3    0.319871    0.316119  0.00155721
           4      0.3147    0.315764  0.00120762
           5    0.317832    0.316178  0.00103449
           6    0.312925    0.315636 0.000994056
           7    0.310388    0.314886  0.00109897
           8    0.328961    0.316645  0.00190611
           9    0.321232    0.317155  0.00176112
          10    0.323688    0.317808  0.00170189
          11    0.316535    0.317693   0.0015511
          12    0.322758    0.318115  0.00147817
          13    0.316678    0.318004  0.00136859
          14    0.322525    0.318327  0.00130837
          15    0.320069    0.318443  0.00122628
          16     0.31675    0.318337  0.00115419
          17    0.321727    0.318537  0.00110339
          18    0.315624    0.318375  0.00105389
          19    0.312243    0.318052  0.00104667
          20    0.322141    0.318257  0.00101411
