# best solutions
1, 25, 13, 11, 33, 18, 17, 29, 4, 26, 16, 28, 34, 15, 19, 20, 31, 12, 22, 14, 5, 30, 6, 32, 9, 3, 8, 27, 10, 23, 21, 24, 7, 2, 1,41.4381
1, 16, 12, 30, 13, 28, 17, 9, 21, 29, 8, 5, 14, 27, 22, 32, 24, 10, 6, 31, 19, 3, 23, 25, 11, 33, 18, 4, 26, 34, 15, 20, 7, 2, 1,36.0646
1, 16, 12, 30, 13, 28, 17, 9, 21, 29, 8, 5, 14, 27, 22, 32, 24, 10, 6, 31, 19, 3, 23, 25, 11, 33, 18, 4, 26, 34, 15, 20, 7, 2, 1,36.0646
1, 16, 12, 30, 13, 28, 17, 9, 21, 29, 8, 5, 14, 27, 22, 32, 24, 10, 6, 31, 19, 3, 23, 11, 7, 2, 25, 20, 15, 34, 26, 4, 18, 33, 1,34.1996
1, 16, 12, 30, 13, 28, 17, 9, 21, 29, 31, 19, 3, 23, 11, 7, 2, 8, 5, 14, 27, 22, 32, 24, 10, 6, 25, 33, 18, 4, 26, 34, 15, 20, 1,32.1217
1, 14, 27, 22, 32, 24, 10, 6, 25, 33, 18, 4, 26, 34, 15, 16, 12, 30, 20, 13, 28, 17, 9, 21, 29, 31, 19, 3, 23, 11, 7, 2, 8, 5, 1,30.2968
1, 5, 14, 27, 22, 32, 24, 10, 6, 25, 33, 18, 4, 26, 34, 15, 20, 16, 12, 30, 13, 28, 17, 9, 21, 29, 31, 19, 3, 23, 11, 7, 2, 8, 1,29.2082
1, 14, 27, 22, 32, 24, 10, 6, 25, 33, 16, 12, 30, 26, 34, 13, 28, 17, 9, 18, 4, 15, 20, 21, 29, 31, 19, 3, 23, 11, 7, 2, 8, 5, 1,27.1151
1, 14, 27, 22, 32, 24, 17, 10, 6, 25, 33, 16, 12, 30, 26, 34, 13, 28, 9, 18, 4, 15, 20, 21, 29, 31, 19, 3, 23, 11, 7, 2, 8, 5, 1,25.8736
1, 14, 27, 22, 32, 24, 17, 10, 6, 25, 33, 16, 12, 30, 26, 34, 13, 28, 9, 18, 4, 15, 20, 21, 29, 31, 19, 3, 23, 2, 7, 11, 8, 5, 1,25.7102
1, 14, 27, 22, 32, 24, 17, 10, 6, 25, 33, 18, 4, 26, 16, 12, 30, 34, 15, 20, 3, 28, 9, 21, 29, 31, 19, 13, 23, 11, 7, 2, 8, 5, 1,24.9715
1, 14, 27, 22, 32, 24, 17, 10, 6, 25, 33, 18, 4, 26, 16, 12, 30, 34, 15, 20, 3, 28, 9, 21, 29, 13, 31, 19, 23, 11, 7, 2, 8, 5, 1,24.8044
