# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
      2.4513      15.686     16.3493    0.609669
     2.82843      12.559     12.9604    0.310557
     3.20555       9.481     10.5345    0.307568
     3.58267       3.372     5.35114     0.40184
      3.9598       6.204     4.46864     0.45826
     4.33692        1.86     2.59143    0.421384
     4.71405       2.073     1.15179    0.332245
     5.09117      1.2965    0.569929    0.161258
     5.46829      0.4715    0.281286   0.0900359
     5.84542        0.07    0.176214     0.07013
     6.22254        0.23   0.0429286   0.0302945
     6.59966       0.141    0.172286    0.096432
     6.97679           0   0.0482857   0.0355767
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562      0.5895     0.25775   0.0827451
    0.565685      5.6445     3.38356    0.564123
    0.942809       8.911     6.93469    0.660403
     1.31993     10.6285     12.7454    0.907409
     1.69706     12.1785     13.6989    0.519829
     2.07418      16.748     16.4563     1.05709
      2.4513      12.272     15.8396    0.715447
     2.82843      13.495     13.0272    0.278834
     3.20555      11.451     10.6491    0.289673
     3.58267       5.082      5.3175    0.353015
      3.9598      4.9385     4.52738    0.404724
     4.33692      2.0885     2.52856    0.373371
     4.71405       2.757     1.35244     0.34604
     5.09117      0.0545      0.5055    0.153432
     5.46829       0.955      0.3655    0.111409
     5.84542      0.2065        0.18   0.0614658
     6.22254           0   0.0375625   0.0269788
     6.59966           0     0.15075   0.0867494
     6.97679           0     0.04225   0.0316375
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562       1.889       0.439    0.186041
    0.565685      6.3425     3.71233    0.589513
    0.942809       8.815     7.14361    0.619191
     1.31993      12.418     12.7091    0.807315
     1.69706     11.5325     13.4582    0.514793
     2.07418      15.569     16.3577    0.944219
      2.4513     11.8025     15.3911    0.763737
     2.82843      8.9395     12.5731    0.494775
