# VELOCITY:     AVE_POFV:        ERROR:
    0.471405      0.3945    0.285214
    0.659966      1.4955     0.16421
    0.848528      3.2685     0.36637
     1.03709      5.1035    0.565407
     1.22565      4.5655    0.717895
     1.41421      7.5625    0.954736
     1.60278      5.0415    0.660782
     1.79134       6.163    0.779381
      1.9799       8.866    0.863209
     2.16846      7.4355    0.679724
     2.35702      11.496     2.27261
     2.54558       7.026     5.68175
     2.73415      5.4755    0.762336
     2.92271      7.7585    0.714745
     3.11127        5.92    0.558544
     3.29983      3.1995    0.446036
     3.48839      2.7165    0.418945
     3.67696      4.0385    0.477357
     3.86552      2.3555    0.335052
     4.05408      1.6835    0.217632
     4.24264      1.6495    0.244799
      4.4312       1.153    0.246888
     4.61976       2.526    0.286214
     4.80833       0.723    0.140781
     4.99689       0.109    0.148874
     5.18545      0.0255   0.0951095
     5.37401           0    0.115967
     5.56257           0   0.0500023
   0.0942809           0   0.0236369
    0.282843       0.036   0.0736095
    0.471405       0.602    0.256337
    0.659966      2.6875    0.215459
    0.848528      3.2715    0.335089
     1.03709       4.361    0.508237
     1.22565      4.5285    0.638343
     1.41421      4.2905    0.863274
     1.60278       5.257    0.587691
     1.79134      7.1805    0.696578
      1.9799       8.932    0.788431
     2.16846      8.3065    0.622328
     2.35702       8.725     2.03403
     2.54558       9.633     5.08469
     2.73415       6.467    0.706349
     2.92271      7.7555    0.661336
     3.11127       6.253     0.52067
     3.29983       4.841    0.412557
     3.48839      3.4125    0.383553
     3.67696      2.7805    0.424444
     3.86552       2.833    0.307721
     4.05408      2.5575    0.225496
     4.24264      0.7225    0.230408
      4.4312       0.244    0.235593
     4.61976      0.4805    0.258002
     4.80833      0.3075    0.127617
     4.99689      0.9505    0.143195
     5.18545       0.461   0.0892416
     5.37401       0.123    0.103208
     5.56257           0   0.0448572
   0.0942809       0.418   0.0423317
    0.282843      0.9335   0.0934857
    0.471405        1.21      0.2323
    0.659966       2.165    0.209016
    0.848528      4.6375    0.358114
     1.03709      4.4925    0.463253
     1.22565        3.64    0.582741
     1.41421      6.0365     0.77789
     1.60278       5.786    0.530037
     1.79134       4.037    0.671207
      1.9799       6.234    0.718062
     2.16846       7.712    0.563698
     2.35702      9.3405     1.83545
     2.54558       8.847     4.60901
     2.73415      9.2955    0.644798
     2.92271      9.1785    0.658981
     3.11127       6.307    0.486672
     3.29983      3.8425    0.371312
     3.48839       3.633    0.357991
     3.67696       1.857     0.39387
     3.86552       2.768    0.282584
     4.05408      1.3805    0.203778
     4.24264        0.23    0.233668
      4.4312       1.105    0.212413
     4.61976      0.2655    0.238608
     4.80833      0.8825    0.119896
     4.99689      1.0225    0.138552
     5.18545       0.709   0.0928235
     5.37401       0.034   0.0937292
     5.56257           0   0.0406648
   0.0942809           0   0.0389696
    0.282843       0.037   0.0881677
    0.471405       1.573    0.217933
    0.659966       2.411    0.208352
    0.848528       3.374    0.329268
     1.03709       3.992    0.421478
     1.22565       3.655    0.535616
     1.41421      5.8245    0.707294
     1.60278        6.08    0.484839
     1.79134       5.756    0.612086
      1.9799       9.708    0.685938
     2.16846       7.167    0.512478
     2.35702       9.203     1.67298
     2.54558      6.4195     4.24194
     2.73415       8.581    0.586791
     2.92271      8.0055    0.613206
     3.11127       5.257    0.442757
     3.29983      5.2705    0.358718
     3.48839       6.028    0.432985
     3.67696      2.2645    0.360708
     3.86552        1.81    0.259526
     4.05408       1.394    0.185777
     4.24264      1.1645     0.21256
      4.4312       0.641    0.195385
     4.61976       0.352    0.220161
     4.80833       1.219    0.123213
     4.99689      0.6705    0.126464
     5.18545      0.1115   0.0854622
     5.37401       0.031   0.0858615
     5.56257           0   0.0371847
   0.0942809      0.0785   0.0357399
    0.282843      0.2425   0.0808854
    0.471405      0.7435    0.200887
    0.659966      2.6835    0.212543
    0.848528      2.6765    0.302173
     1.03709      3.2035     0.38942
     1.22565       4.197    0.491512
     1.41421      4.9865    0.650757
     1.60278      6.6555    0.453634
     1.79134      7.4155    0.568588
      1.9799     10.9365    0.686007
     2.16846       8.947    0.492018
     2.35702      9.5095      1.5355
     2.54558      7.4035     3.91737
     2.73415       7.203    0.544971
     2.92271      6.5205    0.562177
     3.11127      5.3855    0.406599
     3.29983      3.9545    0.328843
     3.48839       3.968    0.403856
     3.67696        1.83    0.338217
     3.86552      2.2275    0.237912
     4.05408       1.114    0.173659
     4.24264      1.6755    0.197868
      4.4312       1.241    0.180568
     4.61976        0.67    0.201908
     4.80833      1.0925    0.119161
     4.99689      0.8095    0.117735
     5.18545      0.2245   0.0783742
     5.37401      0.2745   0.0794146
     5.56257      0.1305   0.0348089
   0.0942809       0.011    0.033236
    0.282843       0.143   0.0753443
    0.471405      1.3115    0.186984
    0.659966      1.4305    0.196652
    0.848528       3.463    0.282679
     1.03709       2.463    0.372096
     1.22565      4.5315    0.453735
     1.41421       5.537    0.600737
     1.60278      7.0175    0.431443
     1.79134      10.446    0.605621
      1.9799       8.877     0.63836
     2.16846       9.252     0.47729
     2.35702       7.594     1.43241
     2.54558      5.2115     3.65999
     2.73415      6.9015    0.512245
     2.92271       5.383    0.526967
     3.11127      6.0185    0.381358
     3.29983        5.37    0.320133
     3.48839       4.302    0.383047
     3.67696       3.337    0.316333
     3.86552       2.336    0.219844
     4.05408       2.143    0.167096
     4.24264      1.8785     0.18793
      4.4312      1.0485    0.166761
     4.61976       0.562    0.186843
     4.80833      1.0315     0.11344
     4.99689       0.154    0.113009
     5.18545       0.165   0.0726238
     5.37401       0.081   0.0734982
     5.56257           0   0.0323382
   0.0942809       0.121    0.031134
    0.282843      1.2015   0.0949334
    0.471405       2.203    0.192025
    0.659966      2.9045    0.203546
    0.848528       2.809    0.262546
     1.03709       3.225    0.346834
     1.22565      5.4205    0.426429
     1.41421      3.8785    0.570584
     1.60278       5.509    0.400887
     1.79134      7.4655    0.565009
      1.9799      9.2145    0.599955
     2.16846       8.553    0.450016
     2.35702      8.6045      1.3345
     2.54558      7.5305     3.41421
     2.73415       4.913    0.524043
     2.92271      6.1625    0.489972
     3.11127      6.1705    0.360695
     3.29983       4.325     0.29767
     3.48839       4.889    0.374154
     3.67696       4.312    0.313983
     3.86552      2.8805    0.209296
     4.05408       1.227    0.156783
     4.24264      1.8225    0.177824
      4.4312      0.3215      0.1614
     4.61976        0.25    0.176575
     4.80833      0.8315    0.105819
     4.99689       0.585    0.104981
     5.18545       0.262   0.0674473
     5.37401        0.03    0.068725
     5.56257      0.3175   0.0353824
   0.0942809      0.0125    0.029259
    0.282843      0.2565   0.0887516
    0.471405      2.4715    0.199908
    0.659966      1.3545    0.191211
    0.848528       2.345     0.24749
     1.03709      3.4345    0.323963
     1.22565       4.518    0.398002
     1.41421       6.674    0.537912
     1.60278       7.565    0.392882
     1.79134      9.8775    0.564998
      1.9799      8.3795    0.560594
     2.16846      8.3245    0.423358
     2.35702      7.4405     1.25696
     2.54558      7.9925      3.1967
     2.73415       6.181      0.5012
     2.92271      5.1565    0.465444
     3.11127      4.2815    0.342326
     3.29983       3.868    0.278284
     3.48839      4.5305    0.357768
     3.67696      4.2425    0.307124
     3.86552      2.4965    0.195948
     4.05408       1.043    0.149662
     4.24264      0.7615    0.170406
      4.4312      1.0015      0.1507
     4.61976       0.517    0.165191
     4.80833      1.0845    0.101894
     4.99689       0.894     0.10054
     5.18545      0.1775   0.0631035
     5.37401      0.3425   0.0654687
     5.56257      0.7155   0.0533446
   0.0942809       0.004   0.0276545
    0.282843      0.2485   0.0833526
    0.471405      1.2265    0.187428
    0.659966       2.586    0.187655
    0.848528      3.3465    0.233974
     1.03709      4.6985    0.310659
     1.22565      5.5115    0.377804
     1.41421      7.6915    0.520296
     1.60278       7.353    0.379706
     1.79134       9.097    0.545554
      1.9799      7.5325    0.526294
     2.16846       5.556    0.414925
     2.35702       6.447     1.19668
     2.54558       4.719     3.02631
     2.73415      9.2305     0.47815
     2.92271      7.4665    0.440994
     3.11127      2.7675    0.352609
     3.29983       4.198    0.260959
     3.48839       3.814    0.336327
     3.67696       4.927    0.312716
     3.86552      3.2635    0.193222
     4.05408       1.441    0.140351
     4.24264      0.7855    0.163013
      4.4312       0.521    0.143537
     4.61976      0.1135     0.15863
     4.80833      0.3845   0.0976766
     4.99689      2.4705    0.148818
     5.18545       0.579   0.0625944
     5.37401      0.0205    0.061895
     5.56257           0    0.050439
   0.0942809       0.054    0.026029
    0.282843       0.487   0.0789897
    0.471405       2.871    0.200783
    0.659966      2.1585    0.178331
    0.848528      2.2085    0.223513
     1.03709       4.816    0.299405
     1.22565      6.0465    0.365123
     1.41421       5.587    0.489739
     1.60278      7.5995    0.369944
     1.79134      11.323    0.567853
      1.9799      7.9085    0.495346
     2.16846      6.7725    0.392317
     2.35702       7.207     1.13507
     2.54558       5.445     2.86741
     2.73415      7.8965    0.450029
     2.92271      4.2405     0.43425
     3.11127      3.5555    0.342375
     3.29983      4.2375    0.245724
     3.48839      2.5205    0.320761
     3.67696      3.7945    0.297481
     3.86552      3.0555    0.186441
     4.05408       1.909    0.134196
     4.24264       1.604    0.154481
      4.4312        1.21    0.136148
     4.61976       0.651    0.149299
     4.80833       0.398   0.0935357
     4.99689      0.6605    0.140071
     5.18545      0.4455    0.059834
     5.37401       0.202   0.0583471
     5.56257       0.576   0.0546484
   0.0942809      0.0065   0.0247407
    0.282843       0.103   0.0756448
    0.471405      0.6595    0.192655
    0.659966      1.5385    0.168817
    0.848528         4.9    0.238608
     1.03709       5.992    0.307526
     1.22565       4.172    0.345922
     1.41421        6.96    0.467502
     1.60278       7.302    0.356157
     1.79134       9.509    0.549135
      1.9799      10.228    0.483577
     2.16846       7.481    0.370554
     2.35702       7.185     1.07946
     2.54558      6.0445     2.72076
     2.73415      6.6725     0.42984
     2.92271      6.1375    0.410281
     3.11127       3.113    0.338122
     3.29983      3.2475    0.236733
     3.48839       2.379    0.307681
     3.67696       3.259    0.281118
     3.86552       2.261    0.176196
     4.05408      1.2385    0.127642
     4.24264      1.7075    0.147497
      4.4312      0.9015    0.128594
     4.61976      1.4265    0.147168
     4.80833      0.0975   0.0938163
     4.99689      0.0075    0.137252
     5.18545      0.0505   0.0577723
     5.37401      0.3935    0.056681
     5.56257       2.149    0.120631
   0.0942809       0.018   0.0235164
    0.282843       0.262   0.0717295
    0.471405      0.8425    0.183731
    0.659966       3.076    0.173964
    0.848528       2.868    0.226093
     1.03709       5.756    0.306823
     1.22565      7.3815    0.356326
     1.41421       8.175    0.459704
     1.60278      9.5245    0.380448
     1.79134      8.8715    0.525342
      1.9799      6.6915    0.463667
     2.16846       5.366    0.366136
     2.35702       6.339      1.0346
     2.54558      5.8795     2.58901
     2.73415       5.863    0.419067
     2.92271       2.569    0.433928
     3.11127       4.541    0.320697
     3.29983      3.1805    0.228806
     3.48839      4.4855    0.297538
     3.67696      3.9385    0.269836
     3.86552       3.563    0.177736
     4.05408      2.6415    0.134248
     4.24264       1.674    0.140849
      4.4312       0.995    0.121872
     4.61976       0.932    0.139976
     4.80833      0.1075   0.0931227
     4.99689      0.0375    0.133727
     5.18545       0.129   0.0551453
     5.37401      0.5715   0.0576619
     5.56257       0.523    0.115187
   0.0942809      0.0095   0.0224425
    0.282843      0.4435   0.0684131
