# best solutions
1, 27, 13, 7, 10, 32, 19, 21, 2, 6, 18, 3, 11, 20, 22, 24, 5, 14, 23, 16, 4, 8, 17, 26, 28, 25, 12, 30, 31, 29, 15, 9, 1,4.5103e+12
1, 27, 13, 7, 10, 25, 23, 21, 24, 19, 18, 8, 6, 32, 12, 30, 17, 4, 20, 3, 22, 28, 11, 9, 2, 26, 15, 31, 14, 16, 5, 29, 1,3.54845e+12
1, 27, 13, 7, 10, 25, 23, 21, 24, 19, 18, 8, 6, 32, 12, 30, 17, 4, 20, 3, 22, 28, 11, 9, 2, 26, 15, 31, 14, 16, 5, 29, 1,3.54845e+12
1, 27, 8, 6, 25, 19, 23, 18, 32, 12, 30, 17, 4, 20, 3, 22, 28, 11, 9, 2, 26, 15, 31, 14, 16, 5, 7, 13, 24, 21, 10, 29, 1,2.78979e+12
1, 27, 8, 6, 25, 19, 23, 18, 32, 12, 30, 17, 4, 20, 3, 22, 28, 11, 9, 2, 26, 15, 31, 14, 16, 5, 7, 13, 24, 21, 10, 29, 1,2.78979e+12
1, 3, 20, 9, 8, 6, 30, 4, 31, 14, 12, 25, 17, 16, 19, 23, 18, 2, 32, 7, 15, 11, 24, 22, 27, 26, 28, 21, 10, 13, 29, 5, 1,2.12302e+12
1, 29, 8, 6, 4, 19, 23, 18, 16, 14, 32, 12, 30, 17, 25, 31, 26, 15, 28, 2, 21, 10, 7, 13, 27, 5, 24, 22, 20, 3, 11, 9, 1,1.81362e+12
1, 15, 27, 8, 6, 25, 19, 23, 18, 32, 12, 30, 17, 4, 14, 16, 31, 29, 5, 20, 3, 22, 28, 2, 26, 13, 7, 10, 21, 24, 9, 11, 1,1.72539e+12
1, 15, 26, 2, 28, 22, 3, 20, 5, 29, 31, 16, 14, 4, 17, 30, 12, 32, 18, 23, 19, 25, 6, 8, 27, 13, 7, 10, 21, 24, 9, 11, 1,1.48132e+12
1, 15, 26, 2, 27, 20, 3, 22, 28, 13, 5, 29, 31, 16, 14, 4, 17, 30, 12, 32, 18, 23, 19, 25, 6, 8, 7, 10, 21, 24, 9, 11, 1,1.64282e+12
1, 3, 15, 26, 2, 32, 14, 18, 23, 19, 25, 30, 17, 4, 31, 16, 8, 6, 12, 27, 20, 22, 28, 13, 7, 10, 24, 29, 5, 9, 21, 11, 1,1.32653e+12
1, 27, 8, 6, 25, 19, 4, 18, 32, 12, 30, 17, 23, 14, 16, 31, 3, 2, 20, 22, 15, 26, 28, 13, 7, 10, 24, 11, 5, 9, 29, 21, 1,1.49703e+12
1, 15, 10, 7, 8, 32, 17, 16, 19, 23, 18, 12, 25, 6, 30, 4, 14, 31, 29, 5, 13, 28, 22, 3, 26, 2, 27, 20, 24, 9, 21, 11, 1,1.56397e+12
1, 15, 10, 5, 29, 31, 14, 4, 30, 6, 25, 12, 18, 23, 19, 16, 17, 32, 8, 7, 13, 28, 22, 3, 26, 9, 21, 20, 24, 2, 27, 11, 1,1.23979e+12
1, 3, 15, 26, 2, 27, 20, 29, 31, 14, 4, 30, 6, 25, 12, 18, 23, 19, 16, 17, 8, 32, 10, 7, 13, 28, 22, 5, 24, 9, 11, 21, 1,1.41126e+12
1, 27, 20, 15, 2, 32, 8, 17, 16, 19, 23, 14, 12, 25, 6, 30, 4, 31, 18, 10, 7, 13, 11, 21, 9, 5, 29, 28, 22, 3, 24, 26, 1,1.21744e+12
1, 3, 10, 7, 13, 28, 22, 21, 11, 27, 26, 15, 29, 24, 18, 6, 19, 16, 17, 8, 32, 12, 23, 4, 14, 31, 25, 30, 2, 5, 9, 20, 1,1.36882e+12
1, 3, 10, 7, 13, 28, 26, 15, 29, 22, 21, 11, 27, 24, 18, 6, 19, 16, 17, 8, 32, 12, 23, 4, 14, 31, 25, 30, 2, 5, 9, 20, 1,1.15039e+12
1, 20, 3, 9, 5, 2, 30, 25, 31, 14, 4, 23, 12, 32, 8, 17, 16, 19, 6, 18, 24, 27, 11, 21, 22, 29, 15, 26, 28, 13, 7, 10, 1,1.13066e+12
