# best solutions
1, 31, 24, 20, 4, 22, 7, 23, 18, 9, 34, 11, 26, 28, 12, 3, 30, 8, 16, 29, 17, 14, 5, 10, 13, 15, 21, 25, 27, 19, 6, 2, 33, 32, 1,8.2438
1, 31, 30, 8, 16, 29, 17, 14, 5, 9, 24, 11, 26, 28, 12, 3, 34, 20, 4, 22, 7, 23, 18, 10, 13, 15, 21, 25, 27, 19, 6, 2, 33, 32, 1,6.99182
1, 31, 4, 2, 19, 27, 28, 13, 3, 30, 34, 24, 20, 6, 25, 15, 12, 10, 14, 17, 8, 21, 29, 5, 33, 22, 32, 7, 23, 18, 9, 16, 11, 26, 1,6.79642
1, 31, 24, 20, 4, 2, 34, 6, 8, 14, 3, 12, 30, 13, 29, 16, 26, 15, 11, 10, 5, 28, 25, 9, 18, 23, 7, 22, 17, 27, 19, 33, 21, 32, 1,6.91122
1, 31, 4, 2, 32, 23, 3, 30, 34, 6, 25, 28, 27, 19, 9, 18, 16, 21, 29, 5, 33, 7, 22, 20, 14, 13, 15, 12, 10, 24, 17, 8, 11, 26, 1,6.09544
1, 12, 21, 34, 18, 31, 20, 13, 19, 27, 17, 5, 30, 33, 4, 22, 23, 14, 2, 7, 9, 29, 16, 32, 3, 6, 25, 28, 11, 26, 10, 24, 8, 15, 1,5.89421
1, 18, 31, 20, 4, 22, 12, 9, 34, 23, 14, 2, 32, 33, 25, 29, 21, 8, 17, 7, 16, 13, 19, 27, 5, 30, 3, 28, 6, 11, 26, 10, 24, 15, 1,5.7092
1, 16, 3, 28, 6, 11, 13, 19, 25, 27, 30, 26, 10, 17, 14, 21, 29, 5, 33, 7, 32, 2, 23, 22, 4, 20, 31, 18, 34, 9, 12, 15, 24, 8, 1,5.38287
1, 18, 12, 21, 34, 31, 20, 32, 19, 27, 17, 5, 30, 33, 4, 22, 23, 14, 10, 26, 11, 28, 25, 6, 29, 13, 16, 3, 9, 7, 2, 15, 8, 24, 1,5.34556
1, 31, 4, 2, 32, 33, 3, 28, 6, 11, 24, 5, 29, 21, 8, 10, 12, 17, 13, 25, 27, 19, 9, 16, 14, 15, 34, 18, 20, 22, 7, 23, 30, 26, 1,4.9664
1, 31, 18, 9, 2, 19, 27, 28, 13, 3, 30, 34, 6, 25, 21, 29, 5, 33, 32, 20, 4, 23, 7, 22, 15, 12, 10, 11, 24, 8, 17, 14, 16, 26, 1,4.67006
1, 31, 34, 30, 18, 9, 20, 32, 33, 22, 7, 23, 4, 2, 19, 24, 11, 10, 8, 3, 5, 29, 27, 28, 13, 6, 25, 21, 15, 12, 14, 17, 16, 26, 1,4.63999
1, 31, 24, 11, 10, 8, 3, 32, 2, 5, 29, 33, 4, 22, 20, 18, 34, 15, 14, 16, 19, 27, 25, 13, 17, 9, 7, 23, 30, 12, 21, 6, 28, 26, 1,4.67701
1, 31, 24, 11, 10, 8, 3, 32, 2, 12, 21, 17, 13, 6, 25, 28, 27, 19, 5, 29, 33, 4, 9, 16, 14, 15, 34, 18, 20, 22, 7, 23, 30, 26, 1,4.49355
1, 31, 9, 19, 27, 28, 25, 6, 13, 17, 8, 24, 11, 10, 12, 21, 5, 29, 33, 4, 3, 32, 2, 23, 30, 7, 22, 20, 18, 34, 15, 14, 16, 26, 1,4.32752
1, 31, 24, 11, 10, 13, 3, 17, 21, 30, 23, 7, 22, 20, 18, 34, 15, 14, 16, 9, 4, 33, 29, 5, 19, 27, 28, 25, 6, 8, 2, 32, 12, 26, 1,4.04243
1, 31, 24, 11, 10, 13, 3, 17, 21, 30, 23, 7, 22, 20, 18, 34, 15, 14, 16, 9, 4, 33, 29, 5, 19, 27, 28, 25, 6, 8, 2, 32, 12, 26, 1,4.04243
1, 31, 9, 19, 27, 28, 25, 6, 13, 17, 16, 14, 15, 34, 18, 20, 22, 7, 30, 23, 4, 33, 29, 5, 21, 3, 32, 2, 12, 10, 11, 24, 8, 26, 1,3.75207
1, 31, 9, 19, 27, 28, 25, 6, 13, 17, 16, 14, 15, 34, 18, 20, 22, 7, 30, 23, 4, 33, 29, 5, 21, 3, 32, 2, 12, 10, 11, 24, 8, 26, 1,3.75207
